name,phone,birth_date
Iryna,0685556677,1993-09-18
Nazar,0502223344,2000-11-05
Maria,0971112233,1990-01-15
Petro,0936667788,1990-01-15
Oleg,0664445566,1985-12-30
Olha,0971112233,1990-01-15
Maria,0633334455,1990-01-15
Oleg,0936667788,1993-09-18
Nazar,0936667788,2000-11-05
Olha,0936667788,2000-11-05
Anna,0971112233,1988-07-10
Ivan,0633334455,2000-11-05
Ivan,0664445566,1988-07-10
Iryna,0685556677,1985-12-30
Olha,0971112233,1990-01-15
Anna,0502223344,1993-09-18
Petro,0502223344,1988-07-10
Oleg,0664445566,1993-09-18
Ivan,0633334455,1995-03-22
Petro,0502223344,1995-03-22
Nazar,0633334455,2000-11-05
Nazar,0664445566,1985-12-30
Anna,0971112233,1993-09-18
Anna,0633334455,1995-03-22
Petro,0664445566,1985-12-30
Nazar,0685556677,1990-01-15
Oleg,0685556677,1988-07-10
Ivan,0502223344,2000-11-05
Petro,0685556677,1993-09-18
Olha,0685556677,1988-07-10
Maria,0664445566,1988-07-10
Oleg,0936667788,1990-01-15
Maria,0664445566,1988-07-10
Petro,0685556677,1995-03-22
Iryna,0633334455,1993-09-18
Olha,0936667788,1985-12-30
Ivan,0664445566,1993-09-18
Anna,0502223344,1988-07-10
Maria,0936667788,1990-01-15
Ivan,0633334455,1985-12-30
Iryna,0502223344,1995-03-22
Nazar,0685556677,1995-03-22
Petro,0936667788,1988-07-10
Oleg,0936667788,1993-09-18
Maria,0502223344,1995-03-22
Iryna,0936667788,1990-01-15
Anna,0502223344,1995-03-22
Petro,0633334455,1990-01-15
Iryna,0664445566,1985-12-30
Oleg,0971112233,1995-03-22
Petro,0971112233,1990-01-15
Maria,0685556677,1990-01-15
Oleg,0633334455,1988-07-10
Ivan,0971112233,1985-12-30
Ivan,0971112233,1985-12-30
Petro,0971112233,1988-07-10
Nazar,0664445566,1993-09-18
Olha,0502223344,1988-07-10
Maria,0685556677,2000-11-05
Nazar,0685556677,1993-09-18
Petro,0685556677,1990-01-15
Olha,0502223344,1993-09-18
Iryna,0971112233,1995-03-22
Ivan,0502223344,1993-09-18
Ivan,0664445566,2000-11-05
Petro,0502223344,1995-03-22
Nazar,0633334455,1988-07-10
Ivan,0685556677,1990-01-15
Maria,0971112233,1985-12-30
Oleg,0664445566,1995-03-22
Iryna,0664445566,1995-03-22
Oleg,0664445566,2000-11-05
Maria,0685556677,1988-07-10
Nazar,0502223344,1993-09-18
Ivan,0502223344,1995-03-22
Anna,0664445566,2000-11-05
Maria,0502223344,1995-03-22
Olha,0936667788,1993-09-18
Maria,0502223344,1995-03-22
Petro,0664445566,1988-07-10
Olha,0664445566,1990-01-15
Nazar,0633334455,1985-12-30
Ivan,0502223344,1990-01-15
Oleg,0664445566,1988-07-10
Oleg,0633334455,1990-01-15
Anna,0502223344,1985-12-30
Petro,0633334455,1990-01-15
Ivan,0971112233,1990-01-15
Olha,0664445566,1990-01-15
Nazar,0502223344,1985-12-30
Ivan,0936667788,1990-01-15
Olha,0633334455,1990-01-15
Maria,0502223344,1988-07-10
Iryna,0971112233,1985-12-30
Nazar,0936667788,1995-03-22
Oleg,0685556677,1993-09-18
Nazar,0502223344,1990-01-15
Iryna,0633334455,1993-09-18
Anna,0971112233,1995-03-22
Petro,0502223344,2000-11-05
Oleg,0685556677,1988-07-10
Olha,0971112233,1995-03-22
Anna,0685556677,1993-09-18
Maria,0971112233,1990-01-15
Iryna,0971112233,1988-07-10
Oleg,0664445566,1993-09-18
Oleg,0664445566,1985-12-30
Ivan,0502223344,1995-03-22
Ivan,0936667788,1990-01-15
Iryna,0633334455,1993-09-18
Oleg,0971112233,1993-09-18
Oleg,0685556677,1985-12-30
Olha,0685556677,1985-12-30
Maria,0936667788,2000-11-05
Petro,0664445566,1993-09-18
Nazar,0502223344,1993-09-18
Petro,0633334455,1990-01-15
Oleg,0936667788,1995-03-22
Olha,0633334455,1993-09-18
Olha,0936667788,1993-09-18
Oleg,0936667788,1985-12-30
Maria,0971112233,2000-11-05
Olha,0633334455,1985-12-30
Maria,0502223344,1990-01-15
Oleg,0685556677,1990-01-15
Maria,0664445566,1985-12-30
Petro,0971112233,1988-07-10
Oleg,0685556677,1995-03-22
Ivan,0502223344,1985-12-30
Olha,0971112233,1990-01-15
Nazar,0685556677,1988-07-10
Iryna,0936667788,1993-09-18
Oleg,0936667788,1988-07-10
Oleg,0971112233,1990-01-15
Anna,0664445566,1995-03-22
Olha,0502223344,2000-11-05
Ivan,0971112233,1988-07-10
Anna,0633334455,1995-03-22
Oleg,0685556677,2000-11-05
Olha,0664445566,1995-03-22
Iryna,0936667788,1993-09-18
Oleg,0971112233,1995-03-22
Oleg,0936667788,2000-11-05
Anna,0664445566,2000-11-05
Ivan,0633334455,1985-12-30
Olha,0971112233,1985-12-30
Oleg,0971112233,1988-07-10
Nazar,0633334455,1990-01-15
Maria,0664445566,2000-11-05
Nazar,0664445566,1993-09-18
Anna,0685556677,1990-01-15
Maria,0971112233,1988-07-10
Ivan,0971112233,1988-07-10
Oleg,0936667788,2000-11-05
Anna,0685556677,1993-09-18
Maria,0664445566,1985-12-30
Anna,0936667788,1988-07-10
Anna,0633334455,1995-03-22
Maria,0633334455,1985-12-30
Maria,0664445566,1995-03-22
Olha,0685556677,1995-03-22
Oleg,0936667788,1995-03-22
Olha,0664445566,1993-09-18
Anna,0971112233,1985-12-30
Maria,0664445566,2000-11-05
Petro,0685556677,2000-11-05
Oleg,0664445566,1993-09-18
Iryna,0971112233,1995-03-22
Anna,0971112233,1985-12-30
Iryna,0685556677,1990-01-15
Anna,0936667788,1995-03-22
Ivan,0633334455,1985-12-30
Anna,0936667788,2000-11-05
Ivan,0664445566,1985-12-30
Petro,0664445566,1995-03-22
Oleg,0685556677,1995-03-22
Oleg,0664445566,1990-01-15
Nazar,0971112233,1990-01-15
Olha,0502223344,1985-12-30
Oleg,0971112233,1995-03-22
Nazar,0502223344,1993-09-18
Iryna,0502223344,1988-07-10
Iryna,0685556677,1988-07-10
Oleg,0502223344,1985-12-30
Maria,0633334455,2000-11-05
Petro,0936667788,1993-09-18
Maria,0664445566,1993-09-18
Anna,0664445566,1988-07-10
Oleg,0633334455,1988-07-10
